nom_estab,scian_6dig,scian_rama,es_prioritario,score_fit_base,score_estrato,score_pob,score_volumen,es_farmacia,es_retail_moderno,score_margen,distancia_centro_m,score_accesibilidad,es_competencia,score_competencia,perfil_cliente,score_fit,tiene_telefono,tiene_correo,tiene_web,score_contactabilidad,score_antiguedad,score_total_raw,score_total,decil_prioridad,nombre,lon,lat
COMERCIO AL POR MENOR EN MINISUPERS SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463012.654799285,0.26851196936408805,False,10.0,C,8,False,False,False,2,5,4.8837023938728175,98.09336621207201,D1,COMERCIO AL POR MENOR EN MINISUPERS SIN NOMBRE,-111.50833602,28.84194794
COMERCIO AL POR MENOR EN MINISUPERS SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463013.50196076,0.2685086221860944,False,10.0,C,8,False,False,False,2,5,4.883701724437219,98.09330657086308,D1,COMERCIO AL POR MENOR EN MINISUPERS SIN NOMBRE,-111.50903879,28.84240565000001
PUESTO EMMANUEL,462112,4621,True,8,2,5,2.9,False,True,8,2463027.6989542604,0.26845252914408313,False,10.0,C,8,False,False,False,2,5,4.883690505828817,98.09230708507377,D1,PUESTO EMMANUEL,-111.51140178,28.844070930000033
PUESTO ESTEBAN,462112,4621,True,8,2,5,2.9,False,True,8,2463051.416618243,0.2683588194496933,False,10.0,C,8,False,False,False,2,5,4.8836717638899385,98.09063733238241,D1,PUESTO ESTEBAN,-111.5099037,28.84338016
PUESTO SAN PANCHO,462112,4621,True,8,2,5,2.9,False,True,8,2463056.697915964,0.26833795277430017,False,10.0,C,8,False,False,False,2,5,4.88366759055486,98.09026552253263,D1,PUESTO SAN PANCHO,-111.51258702,28.845150020000034
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463058.5525767272,0.2683306249154749,False,10.0,C,8,False,False,False,2,5,4.883666124983095,98.09013495213566,D1,PUESTO SIN NOMBRE,-111.51689895,28.84791891000001
COMERCIO AL POR MENOR EN MINISUPERS SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463067.215707972,0.26829639644415315,False,10.0,C,8,False,False,False,2,5,4.883659279288831,98.08952505704978,D1,COMERCIO AL POR MENOR EN MINISUPERS SIN NOMBRE,-111.50830856,28.842539009999957
PUESTO MARTINEZ,462112,4621,True,8,2,5,2.9,False,True,8,2463101.197323703,0.26816213335536965,False,10.0,C,8,False,False,False,2,5,4.883632426671074,98.08713270954182,D1,PUESTO MARTINEZ,-111.51602591,28.84783811000002
COMERCIO AL POR MENOR EN MINISUPERS SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463124.0328921927,0.2680719088650496,False,10.0,C,8,False,False,False,2,5,4.88361438177301,98.08552505745722,D1,COMERCIO AL POR MENOR EN MINISUPERS SIN NOMBRE,-111.50875864,28.84345982
PUESTO LUISITO,462112,4621,True,8,2,5,2.9,False,True,8,2463124.276134135,0.26807094780378793,False,10.0,C,8,False,False,False,2,5,4.883614189560757,98.08550793292548,D1,PUESTO LUISITO,-111.50414645,28.84052008
PUESTO MARY,462112,4621,True,8,2,5,2.9,False,True,8,2463126.1367112626,0.26806359656910694,False,10.0,C,8,False,False,False,2,5,4.883612719313821,98.08537694600923,D1,PUESTO MARY,-111.51217361,28.84566086
BRAIYAN,462112,4621,True,8,2,5,2.9,False,True,8,2463136.8457265757,0.2680212847059771,False,10.0,C,8,False,False,False,2,5,4.8836042569411955,98.08462301817077,D1,BRAIYAN,-111.50559421,28.84158411000001
PUESTO EL PATRON,462112,4621,True,8,2,5,2.9,False,True,8,2463161.848508733,0.26792249744444163,False,10.0,C,8,False,False,False,2,5,4.883584499488888,98.08286279158064,D1,PUESTO EL PATRON,-111.50942913,28.844309210000013
COMERCIO AL POR MENOR EN MINISUPERS SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463185.41342876,0.2678293912491714,False,10.0,C,8,False,False,False,2,5,4.883565878249834,98.08120379225139,D1,COMERCIO AL POR MENOR EN MINISUPERS SIN NOMBRE,-111.51742203,28.84966667
PUESTO MARTINEZ,462112,4621,True,8,2,5,2.9,False,True,8,2463185.574521205,0.2678287547647451,False,10.0,C,8,False,False,False,2,5,4.8835657509529495,98.0811924511454,D1,PUESTO MARTINEZ,-111.51390026,28.847424330000027
PUESTO GONZALEZ,462112,4621,True,8,2,5,2.9,False,True,8,2463188.2677125405,0.2678181138290625,False,10.0,C,8,False,False,False,2,5,4.883563622765812,98.08100284716559,D1,PUESTO GONZALEZ,-111.50451342,28.84146813
EXPENDIO EL PITAYO,462112,4621,True,8,2,5,2.9,False,True,8,2463194.974682797,0.2677916142491077,False,10.0,C,8,False,False,False,2,5,4.883558322849821,98.08053066821726,D1,EXPENDIO EL PITAYO,-111.50190828,28.839880359999984
PUESTO DE LA VIRGEN MILAGROSA,462112,4621,True,8,2,5,2.9,False,True,8,2463202.678329858,0.2677611767485044,False,10.0,C,8,False,False,False,2,5,4.883552235349701,98.07998832199712,D1,PUESTO DE LA VIRGEN MILAGROSA,-111.51611935,28.8490292
PUESTO MARTINEZ,462112,4621,True,8,2,5,2.9,False,True,8,2463219.4056884423,0.267695086105596,False,10.0,C,8,False,False,False,2,5,4.883539017221119,98.07881069539619,D1,PUESTO MARTINEZ,-111.50712565,28.843482040000012
SUPER LAS LOMAS,462112,4621,True,8,2,5,2.9,False,True,8,2463225.9737126892,0.26766913550837934,False,10.0,C,8,False,False,False,2,5,4.883533827101676,98.07834829841772,D1,SUPER LAS LOMAS,-111.50186938,28.84020138
PUESTO HERNANDEZ,462112,4621,True,8,2,5,2.9,False,True,8,2463230.946345016,0.2676494883856284,False,10.0,C,8,False,False,False,2,5,4.883529897677126,98.077998218991,D1,PUESTO HERNANDEZ,-111.51156583,28.846442250000017
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463237.779015468,0.26762249215782075,False,10.0,C,8,False,False,False,2,5,4.883524498431565,98.07751719059446,D1,PUESTO SIN NOMBRE,-111.5136553,28.84785035
PUESTO CHINO,462112,4621,True,8,2,5,2.9,False,True,8,2463267.952611909,0.2675032747465611,False,10.0,C,8,False,False,False,2,5,4.883500654949312,98.0753929323242,D1,PUESTO CHINO,-111.50315937,28.841493020000016
FRUTTI CELE,462111,4621,True,8,2,5,2.9,False,True,8,2463268.578127045,0.26750080330450343,False,10.0,C,8,False,False,False,2,5,4.8835001606609,98.07534889528986,D1,FRUTTI CELE,-111.50065029,28.83989854000001
PUESTO LALO,462112,4621,True,8,2,5,2.9,False,True,8,2463272.1055445317,0.26748686629894936,False,10.0,C,8,False,False,False,2,5,4.88349737325979,98.075100560764,D1,PUESTO LALO,-111.51151732,28.846870340000038
SUPER MEMO,462112,4621,True,8,2,5,2.9,False,True,8,2463281.2145046536,0.26745087633510467,False,10.0,C,8,False,False,False,2,5,4.8834901752670214,98.0744592787773,D1,SUPER MEMO,-111.50992762,28.84595839
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463307.712207223,0.26734618256713305,False,10.0,C,8,False,False,False,2,5,4.8834692365134265,98.07259380795296,D1,PUESTO SIN NOMBRE,-111.50840257,28.84528143000001
OXXO SUC 50XYO LA COSTA HMO,462112,4621,True,8,2,5,2.9,False,True,8,2463310.455397931,0.2673353440813908,False,10.0,C,8,False,False,False,2,5,4.883467068816278,98.07240068395592,D1,OXXO SUC 50XYO LA COSTA HMO,-111.50189468000002,28.84116006
PUESTO SIN NOMBRE,462112,4621,True,8,2,5,2.9,False,True,8,2463312.853659566,0.2673258684279256,False,10.0,C,8,False,False,False,2,5,4.883465173685585,98.0722318433896,D1,PUESTO SIN NOMBRE,-111.5099416,28.84632017000002
PUESTO SANCHEZ,462112,4621,True,8,2,5,2.9,False,True,8,2463317.5956768505,0.26730713247691273,False,10.0,C,8,False,False,False,2,5,4.883461426495383,98.07189799954526,D1,PUESTO SANCHEZ,-111.51615574,28.850333720000013
