scian_rama,n_establecimientos,n_prioritarios,score_fit_promedio,pct_total
4853,3,0,5.0,0.01
5222,3,0,5.0,0.01
5182,3,0,5.0,0.01
3332,3,0,5.0,0.01
3211,3,0,5.0,0.01
3251,3,0,5.0,0.01
6112,3,0,5.0,0.01
7212,2,0,5.0,0.01
4691,2,0,5.0,0.01
5511,2,0,5.0,0.01
3341,2,0,5.0,0.01
3324,2,0,5.0,0.01
4812,2,0,5.0,0.01
4859,2,0,5.0,0.01
4862,2,0,5.0,0.01
5239,2,0,5.0,0.01
4882,2,0,5.0,0.01
5122,2,0,5.0,0.01
5132,2,0,5.0,0.01
5174,2,0,5.0,0.01
3133,2,0,5.0,0.01
1153,1,0,5.0,0.0
9317,1,0,5.0,0.0
3325,1,0,5.0,0.0
3369,1,0,5.0,0.0
3361,1,0,5.0,0.0
4821,1,0,5.0,0.0
3351,1,0,5.0,0.0
3336,1,0,5.0,0.0
3314,1,0,5.0,0.0
5331,1,0,5.0,0.0
3345,1,0,5.0,0.0
3322,1,0,5.0,0.0
3161,1,0,5.0,0.0
3212,1,0,5.0,0.0
3132,1,0,5.0,0.0
